year,city,country,avg_temp,City_7Days_M_Average
1743,Chicago,United States,5.44,
1744,Chicago,United States,11.73,
1745,Chicago,United States,1.8,
1746,Chicago,United States,,
1747,Chicago,United States,,
1748,Chicago,United States,,
1749,Chicago,United States,,
1750,Chicago,United States,10.49,
1751,Chicago,United States,11.19,
1752,Chicago,United States,4.5,
1753,Chicago,United States,10.04,
1754,Chicago,United States,10.64,
1755,Chicago,United States,7.41,
1756,Chicago,United States,11.15,9.35
1757,Chicago,United States,9.5,9.20
1758,Chicago,United States,8.61,8.84
1759,Chicago,United States,9.59,9.56
1760,Chicago,United States,8.05,9.28
1761,Chicago,United States,10.4,9.24
1762,Chicago,United States,9.82,9.59
1763,Chicago,United States,7.72,9.10
1764,Chicago,United States,10.63,9.26
1765,Chicago,United States,9.78,9.43
1766,Chicago,United States,10.49,9.56
1767,Chicago,United States,9.41,9.75
1768,Chicago,United States,8.95,9.54
1769,Chicago,United States,9.79,9.54
1770,Chicago,United States,9.66,9.82
1771,Chicago,United States,10.44,9.79
1772,Chicago,United States,10.27,9.86
1773,Chicago,United States,10.42,9.85
1774,Chicago,United States,10.27,9.97
1775,Chicago,United States,10.99,10.26
1776,Chicago,United States,9.98,10.29
1777,Chicago,United States,9.67,10.29
1778,Chicago,United States,7.63,9.89
1779,Chicago,United States,10.32,9.90
1780,Chicago,United States,12.54,10.20
1781,Chicago,United States,10.18,10.19
1782,Chicago,United States,9.69,10.00
1783,Chicago,United States,9.44,9.92
1784,Chicago,United States,9.4,9.89
1785,Chicago,United States,9.2,10.11
1786,Chicago,United States,9.75,10.03
1787,Chicago,United States,9.78,9.63
1788,Chicago,United States,10.28,9.65
1789,Chicago,United States,10.03,9.70
1790,Chicago,United States,9.93,9.77
1791,Chicago,United States,10.12,9.87
1792,Chicago,United States,9.62,9.93
1793,Chicago,United States,10.2,9.99
1794,Chicago,United States,10.3,10.07
1795,Chicago,United States,10.01,10.03
1796,Chicago,United States,9.92,10.01
1797,Chicago,United States,9.66,9.98
1798,Chicago,United States,10.43,10.02
1799,Chicago,United States,10.11,10.09
1800,Chicago,United States,10.11,10.08
1801,Chicago,United States,10.47,10.10
1802,Chicago,United States,10.66,10.19
1803,Chicago,United States,10.48,10.27
1804,Chicago,United States,10.41,10.38
1805,Chicago,United States,10.63,10.41
1806,Chicago,United States,10.1,10.41
1807,Chicago,United States,9.88,10.38
1808,Chicago,United States,9.84,10.29
1809,Chicago,United States,9.04,10.05
1810,Chicago,United States,9.22,9.87
1811,Chicago,United States,9.37,9.73
1812,Chicago,United States,8.34,9.40
1813,Chicago,United States,9.67,9.34
1814,Chicago,United States,9.55,9.29
1815,Chicago,United States,8.86,9.15
1816,Chicago,United States,8.27,9.04
1817,Chicago,United States,8.54,8.94
1818,Chicago,United States,9.42,8.95
1819,Chicago,United States,9.19,9.07
1820,Chicago,United States,9.02,8.98
1821,Chicago,United States,9.08,8.91
1822,Chicago,United States,9.87,9.06
1823,Chicago,United States,9.31,9.20
1824,Chicago,United States,9.57,9.35
1825,Chicago,United States,10.87,9.56
1826,Chicago,United States,10.19,9.70
1827,Chicago,United States,10.58,9.92
1828,Chicago,United States,11,10.20
1829,Chicago,United States,9.94,10.21
1830,Chicago,United States,11.11,10.47
1831,Chicago,United States,9.02,10.39
1832,Chicago,United States,10.33,10.31
1833,Chicago,United States,10.7,10.38
1834,Chicago,United States,10.92,10.43
1835,Chicago,United States,9.44,10.21
1836,Chicago,United States,8.68,10.03
1837,Chicago,United States,9.42,9.79
1838,Chicago,United States,8.81,9.76
1839,Chicago,United States,10.57,9.79
1840,Chicago,United States,10.24,9.73
1841,Chicago,United States,9.83,9.57
1842,Chicago,United States,10.32,9.70
1843,Chicago,United States,8.78,9.71
1844,Chicago,United States,10.28,9.83
1845,Chicago,United States,10.6,10.09
1846,Chicago,United States,11.29,10.19
1847,Chicago,United States,9.23,10.05
1848,Chicago,United States,9.77,10.04
1849,Chicago,United States,9.34,9.90
1850,Chicago,United States,9.89,10.06
1851,Chicago,United States,10.17,10.04
1852,Chicago,United States,9.82,9.93
1853,Chicago,United States,10.21,9.78
1854,Chicago,United States,10.96,10.02
1855,Chicago,United States,9.71,10.01
1856,Chicago,United States,8.66,9.92
1857,Chicago,United States,8.76,9.76
1858,Chicago,United States,10.53,9.81
1859,Chicago,United States,9.76,9.80
1860,Chicago,United States,9.75,9.73
1861,Chicago,United States,9.62,9.54
1862,Chicago,United States,9.36,9.49
1863,Chicago,United States,9.73,9.64
1864,Chicago,United States,9.35,9.73
1865,Chicago,United States,9.92,9.64
1866,Chicago,United States,9.05,9.54
1867,Chicago,United States,9.43,9.49
1868,Chicago,United States,8.88,9.39
1869,Chicago,United States,8.73,9.30
1870,Chicago,United States,10.55,9.42
1871,Chicago,United States,9.91,9.50
1872,Chicago,United States,8.72,9.32
1873,Chicago,United States,8.84,9.29
1874,Chicago,United States,10.18,9.40
1875,Chicago,United States,7.8,9.25
1876,Chicago,United States,9.69,9.38
1877,Chicago,United States,10.68,9.40
1878,Chicago,United States,11.31,9.60
1879,Chicago,United States,10.11,9.80
1880,Chicago,United States,10.46,10.03
1881,Chicago,United States,10.25,10.04
1882,Chicago,United States,10.38,10.41
1883,Chicago,United States,8.42,10.23
1884,Chicago,United States,9.35,10.04
1885,Chicago,United States,7.96,9.56
1886,Chicago,United States,9.4,9.46
1887,Chicago,United States,9.64,9.34
1888,Chicago,United States,8.74,9.13
1889,Chicago,United States,10.02,9.08
1890,Chicago,United States,10.21,9.33
1891,Chicago,United States,10.29,9.47
1892,Chicago,United States,9.21,9.64
1893,Chicago,United States,8.91,9.57
1894,Chicago,United States,10.79,9.74
1895,Chicago,United States,9.32,9.82
1896,Chicago,United States,10.39,9.87
1897,Chicago,United States,10.05,9.85
1898,Chicago,United States,10.24,9.84
1899,Chicago,United States,10.12,9.97
1900,Chicago,United States,10.63,10.22
1901,Chicago,United States,9.87,10.09
1902,Chicago,United States,10.04,10.19
1903,Chicago,United States,9.57,10.07
1904,Chicago,United States,8.56,9.86
1905,Chicago,United States,9.42,9.74
1906,Chicago,United States,10.56,9.81
1907,Chicago,United States,9.32,9.62
1908,Chicago,United States,10.68,9.74
1909,Chicago,United States,9.89,9.71
1910,Chicago,United States,10.2,9.80
1911,Chicago,United States,10.87,10.13
1912,Chicago,United States,8.95,10.07
1913,Chicago,United States,10.83,10.11
1914,Chicago,United States,10.2,10.23
1915,Chicago,United States,9.98,10.13
1916,Chicago,United States,9.84,10.12
1917,Chicago,United States,8.06,9.82
1918,Chicago,United States,10.06,9.70
1919,Chicago,United States,10.64,9.94
1920,Chicago,United States,9.83,9.80
1921,Chicago,United States,12.28,10.10
1922,Chicago,United States,10.92,10.23
1923,Chicago,United States,10.12,10.27
1924,Chicago,United States,8.77,10.37
1925,Chicago,United States,9.93,10.36
1926,Chicago,United States,9.12,10.14
1927,Chicago,United States,10.54,10.24
1928,Chicago,United States,10.21,9.94
1929,Chicago,United States,9.28,9.71
1930,Chicago,United States,10.79,9.81
1931,Chicago,United States,12.39,10.32
1932,Chicago,United States,10.61,10.42
1933,Chicago,United States,11.09,10.70
1934,Chicago,United States,10.87,10.75
1935,Chicago,United States,10.01,10.72
1936,Chicago,United States,9.86,10.80
1937,Chicago,United States,9.99,10.69
1938,Chicago,United States,11.4,10.55
1939,Chicago,United States,11.35,10.65
1940,Chicago,United States,9.67,10.45
1941,Chicago,United States,11.41,10.53
1942,Chicago,United States,10.41,10.58
1943,Chicago,United States,9.72,10.56
1944,Chicago,United States,10.82,10.68
1945,Chicago,United States,9.96,10.48
1946,Chicago,United States,11.4,10.48
1947,Chicago,United States,10.22,10.56
1948,Chicago,United States,10.41,10.42
1949,Chicago,United States,11.18,10.53
1950,Chicago,United States,9.43,10.49
1951,Chicago,United States,9.42,10.29
1952,Chicago,United States,10.91,10.42
1953,Chicago,United States,11.67,10.46
1954,Chicago,United States,11.11,10.59
1955,Chicago,United States,11.01,10.68
1956,Chicago,United States,10.72,10.61
1957,Chicago,United States,10.42,10.75
1958,Chicago,United States,9.9,10.82
1959,Chicago,United States,10.43,10.75
1960,Chicago,United States,10.11,10.53
1961,Chicago,United States,10.58,10.45
1962,Chicago,United States,9.99,10.31
1963,Chicago,United States,9.89,10.19
1964,Chicago,United States,11.06,10.28
1965,Chicago,United States,10.34,10.34
1966,Chicago,United States,10.05,10.29
1967,Chicago,United States,9.84,10.25
1968,Chicago,United States,10.66,10.26
1969,Chicago,United States,10.03,10.27
1970,Chicago,United States,10.34,10.33
1971,Chicago,United States,10.58,10.26
1972,Chicago,United States,9.39,10.13
1973,Chicago,United States,11.55,10.34
1974,Chicago,United States,10.35,10.41
1975,Chicago,United States,10.82,10.44
1976,Chicago,United States,9.79,10.40
1977,Chicago,United States,10.46,10.42
1978,Chicago,United States,9.46,10.26
1979,Chicago,United States,9.37,10.26
1980,Chicago,United States,10.05,10.04
1981,Chicago,United States,10.54,10.07
1982,Chicago,United States,9.99,9.95
1983,Chicago,United States,10.94,10.12
1984,Chicago,United States,10.66,10.14
1985,Chicago,United States,10.11,10.24
1986,Chicago,United States,10.82,10.44
1987,Chicago,United States,12.04,10.73
1988,Chicago,United States,10.86,10.77
1989,Chicago,United States,9.8,10.75
1990,Chicago,United States,11.5,10.83
1991,Chicago,United States,11.58,10.96
1992,Chicago,United States,10.24,10.98
1993,Chicago,United States,10.18,10.89
1994,Chicago,United States,10.56,10.67
1995,Chicago,United States,10.57,10.63
1996,Chicago,United States,9.56,10.60
1997,Chicago,United States,10.14,10.40
1998,Chicago,United States,12.81,10.58
1999,Chicago,United States,11.72,10.79
2000,Chicago,United States,11.09,10.92
2001,Chicago,United States,11.7,11.08
2002,Chicago,United States,11.53,11.22
2003,Chicago,United States,10.48,11.35
2004,Chicago,United States,10.94,11.47
2005,Chicago,United States,11.58,11.29
2006,Chicago,United States,11.87,11.31
2007,Chicago,United States,11.45,11.36
2008,Chicago,United States,10.24,11.16
2009,Chicago,United States,10.3,10.98
2010,Chicago,United States,11.82,11.17
2011,Chicago,United States,11.21,11.21
2012,Chicago,United States,12.82,11.39
2013,Chicago,United States,11.59,11.35
