year,Global_7Days_M_avg,Chicago_7Days_M_Average
1756,7.95,9.35
1757,7.97,9.20
1758,8.15,8.84
1759,8.31,9.56
1760,8.24,9.28
1761,8.03,9.24
1762,8.09,9.59
1763,8.05,9.10
1764,7.80,9.26
1765,8.08,9.43
1766,8.12,9.56
1767,8.32,9.75
1768,8.23,9.54
1769,7.93,9.54
1770,7.96,9.82
1771,7.84,9.79
1772,7.77,9.86
1773,7.74,9.85
1774,7.74,9.97
1775,8.07,10.26
1776,8.32,10.29
1777,8.42,10.29
1778,8.49,9.89
1779,8.55,9.90
1780,8.67,10.20
1781,8.78,10.19
1782,8.60,10.00
1783,8.54,9.92
1784,8.44,9.89
1785,8.33,10.11
1786,8.06,10.03
1787,7.86,9.63
1788,7.85,9.65
1789,7.94,9.70
1790,8.05,9.77
1791,8.07,9.87
1792,8.21,9.93
1793,8.19,9.99
1794,8.22,10.07
1795,8.23,10.03
1796,8.24,10.01
1797,8.28,9.98
1798,8.33,10.02
1799,8.43,10.09
1800,8.47,10.08
1801,8.47,10.10
1802,8.51,10.19
1803,8.56,10.27
1804,8.56,10.38
1805,8.58,10.41
1806,8.59,10.41
1807,8.58,10.38
1808,8.53,10.29
1809,8.37,10.05
1810,8.14,9.87
1811,7.82,9.73
1812,7.53,9.40
1813,7.30,9.34
1814,7.21,9.29
1815,7.21,9.15
1816,7.23,9.04
1817,7.24,8.94
1818,7.26,8.95
1819,7.39,9.07
1820,7.33,8.98
1821,7.33,8.91
1822,7.47,9.06
1823,7.68,9.20
1824,7.80,9.35
1825,7.92,9.56
1826,8.09,9.70
1827,8.22,9.92
1828,8.34,10.20
1829,8.33,10.21
1830,8.37,10.47
1831,8.37,10.39
1832,8.24,10.31
1833,8.09,10.38
1834,7.96,10.43
1835,7.95,10.21
1836,7.86,10.03
1837,7.72,9.79
1838,7.68,9.76
1839,7.69,9.79
1840,7.63,9.73
1841,7.57,9.57
1842,7.62,9.70
1843,7.67,9.71
1844,7.80,9.83
1845,7.83,10.09
1846,7.86,10.19
1847,7.99,10.05
1848,8.06,10.04
1849,8.05,9.90
1850,8.02,10.06
1851,8.06,10.04
1852,8.11,9.93
1853,8.04,9.78
1854,8.03,10.02
1855,8.07,10.01
1856,8.09,9.92
1857,8.11,9.76
1858,8.04,9.81
1859,8.04,9.80
1860,8.07,9.73
1861,8.03,9.54
1862,7.99,9.49
1863,7.91,9.64
1864,7.97,9.73
1865,7.95,9.64
1866,7.94,9.54
1867,8.00,9.49
1868,8.09,9.39
1869,8.21,9.30
1870,8.26,9.42
1871,8.30,9.50
1872,8.29,9.32
1873,8.27,9.29
1874,8.26,9.40
1875,8.29,9.25
1876,8.19,9.38
1877,8.17,9.40
1878,8.24,9.60
1879,8.35,9.80
1880,8.32,10.03
1881,8.27,10.04
1882,8.34,10.41
1883,8.34,10.23
1884,8.25,10.04
1885,8.07,9.56
1886,8.03,9.46
1887,8.00,9.34
1888,7.94,9.13
1889,7.94,9.08
1890,7.99,9.33
1891,8.03,9.47
1892,8.04,9.64
1893,8.06,9.57
1894,8.09,9.74
1895,8.10,9.82
1896,8.07,9.87
1897,8.11,9.85
1898,8.16,9.84
1899,8.18,9.97
1900,8.23,10.22
1901,8.29,10.09
1902,8.35,10.19
1903,8.37,10.07
1904,8.36,9.86
1905,8.34,9.74
1906,8.31,9.81
1907,8.29,9.62
1908,8.20,9.74
1909,8.18,9.71
1910,8.17,9.80
1911,8.19,10.13
1912,8.18,10.07
1913,8.15,10.11
1914,8.21,10.23
1915,8.27,10.13
1916,8.34,10.12
1917,8.34,9.82
1918,8.32,9.70
1919,8.31,9.94
